LSOA_code,LA_Code,HospCart,Hosp_pop
E01000001,E09000001,6.96958908146683,863.21459197998
E01000002,E09000001,8.16533748042472,817.88597869873
E01000003,E09000001,8.46838432616728,805.075698852539
E01000005,E09000001,9.5934907456819,460.184020996094
E01000006,E09000002,17.9609763357361,601.834533691406
E01000007,E09000002,16.5845750050184,678.310768127441
E01000008,E09000002,16.0092703899634,577.450820922852
E01000009,E09000002,17.7739653574864,707.127906799316
E01000010,E09000002,15.7793925938595,1222.51108551025
E01000011,E09000002,18.7418168222079,506.516372680664
E01000012,E09000002,18.2482228520553,773.628944396973
E01000013,E09000002,18.0143842987138,720.428092956543
E01000014,E09000002,18.4203292669909,707.127868652344
E01000015,E09000002,17.4189714715613,926.581367492676
E01000016,E09000002,16.594521155225,693.827659606934
E01000017,E09000002,17.265697653028,674.985702514648
E01000018,E09000002,17.0788727054288,678.310760498047
E01000019,E09000002,14.7968454689688,558.608871459961
E01000020,E09000002,15.2649845159742,720.428108215332
E01000021,E09000002,15.5706745438056,657.252098083496
E01000022,E09000002,15.9220258652545,525.358352661133
E01000023,E09000002,15.6285999940742,554.17546081543
E01000024,E09000002,16.4892541049756,505.408020019531
E01000025,E09000002,16.5583471176153,697.152725219727
E01000027,E09000002,14.9258191148362,710.452941894531
E01000028,E09000002,14.1973529087967,678.310760498047
E01000029,E09000002,13.1084781901659,764.762153625488
E01000030,E09000002,15.1726882578487,853.430206298828
E01000031,E09000002,12.6575417487438,662.793869018555
E01000032,E09000002,12.1875279460415,699.369415283203
E01000033,E09000002,15.816754728414,590.751014709473
E01000034,E09000002,14.7859381161159,573.017440795898
E01000035,E09000002,16.0862607855038,628.434959411621
E01000036,E09000002,16.8136026560379,519.81657409668
E01000037,E09000002,13.5519515244264,641.735176086426
E01000038,E09000002,11.4817404340511,624.001579284668
E01000039,E09000002,14.3915782375683,730.403259277344
E01000040,E09000002,16.191437694877,709.344589233398
E01000041,E09000002,17.3885012029016,672.769012451172
E01000042,E09000002,17.7491163031104,752.570251464844
E01000043,E09000002,16.5118435840382,510.949768066406
E01000044,E09000002,16.3673605928172,697.152725219727
E01000045,E09000002,16.1045845897555,667.227256774902
E01000046,E09000002,17.328960666097,724.86149597168
E01000048,E09000002,15.7775779294168,713.77799987793
E01000049,E09000002,15.4006063648117,712.669647216797
E01000050,E09000002,15.1171544173424,681.635818481445
E01000051,E09000002,15.9976552345481,803.554412841797
E01000052,E09000002,14.2494800348438,852.321853637695
E01000053,E09000002,20.43353492814,714.886352539063
E01000054,E09000002,19.1124139072548,707.127899169922
E01000055,E09000002,18.2093212744645,620.676528930664
E01000056,E09000002,19.6165097341698,635.085067749023
E01000057,E09000002,18.1902604746756,595.184448242188
E01000058,E09000002,19.5171016646012,764.762138366699
E01000059,E09000002,20.3398966514902,640.626823425293
E01000060,E09000002,15.013688420376,853.430221557617
E01000061,E09000002,13.7347454646249,740.378402709961
E01000062,E09000002,15.2461759848754,843.455070495605
E01000063,E09000002,15.9153387753262,703.802841186523
E01000064,E09000002,14.9360789528936,785.820816040039
E01000065,E09000002,16.5945873194587,857.863616943359
E01000066,E09000002,16.0051975219819,757.003677368164
E01000067,E09000002,16.3436963939051,752.570281982422
E01000068,E09000002,18.5826620266216,512.058120727539
E01000069,E09000002,17.2206240096615,568.584030151367
E01000070,E09000002,17.8645319715724,662.793869018555
E01000071,E09000002,18.3144585796943,870.055465698242
E01000072,E09000002,17.5841968873525,868.947128295898
E01000073,E09000002,17.1185482604474,694.93603515625
E01000074,E09000002,17.6476306232207,697.152732849121
E01000075,E09000002,18.8014633051583,689.394264221191
E01000076,E09000002,18.4445207967061,786.929145812988
E01000077,E09000002,16.6241074477658,620.67652130127
E01000078,E09000002,16.4809242600467,719.319747924805
E01000079,E09000002,17.8814283437523,674.985710144043
E01000080,E09000002,17.4156569806693,658.360450744629
E01000081,E09000002,17.3593826835305,718.211395263672
E01000082,E09000002,16.5649109718255,744.811790466309
E01000083,E09000002,15.7648172631885,697.152717590332
E01000084,E09000002,20.2840040520844,573.017433166504
E01000085,E09000002,20.1670782600405,709.344589233398
E01000086,E09000002,20.3949801987334,563.042251586914
E01000087,E09000002,20.6304173374629,557.500503540039
E01000088,E09000002,20.1137335860253,709.34455871582
E01000089,E09000002,21.0894116811438,678.310760498047
E01000090,E09000002,21.1851730651174,608.484649658203
E01000091,E09000002,16.0338072513997,701.586128234863
E01000092,E09000002,15.6130768218509,1080.64214324951
E01000093,E09000002,15.2902027681825,711.561294555664
E01000094,E09000002,16.9052420139318,573.017448425293
E01000095,E09000002,19.1145355082069,608.484649658203
E01000096,E09000002,16.4108601847743,708.236228942871
E01000097,E09000002,13.8111157886593,784.712448120117
E01000098,E09000002,14.4336800192452,692.719352722168
E01000099,E09000002,14.5383636249846,738.161712646484
E01000100,E09000002,15.4957237305989,681.635818481445
E01000101,E09000002,15.3754671569009,628.434967041016
E01000102,E09000002,15.258175881316,692.719314575195
E01000103,E09000002,18.0286493433572,665.010551452637
E01000104,E09000002,18.0420835907089,819.071319580078
E01000105,E09000002,19.6671146247966,1014.14108276367
E01000106,E09000002,19.2044432226182,1015.24942016602
E01000107,E09000002,18.8966060774047,666.118896484375
E01000108,E09000002,18.1307362898552,722.644805908203
E01000109,E09000002,15.3832237275585,673.87735748291
E01000110,E09000002,13.0629742692075,555.283813476563
E01000111,E09000002,14.5080873676195,811.312858581543
E01000112,E09000002,13.5771583733358,819.071319580078
E01000113,E09000002,12.4148496278208,701.586143493652
E01000114,E09000002,15.3537601969593,840.129981994629
E01000115,E09000003,17.6718344929869,532.266784667969
E01000116,E09000003,18.9327927245885,683.715858459473
E01000117,E09000003,20.3434380570481,836.262435913086
E01000118,E09000003,20.3885329641584,778.097213745117
E01000119,E09000003,18.8599500564825,666.156539916992
E01000120,E09000003,18.186217756281,554.215927124023
E01000121,E09000003,21.0358684892296,549.826080322266
E01000122,E09000003,19.1221833149933,572.872695922852
E01000123,E09000003,20.3478390749125,751.758270263672
E01000124,E09000003,19.9274238601268,724.321792602539
E01000125,E09000003,21.5379111038873,1113.91909790039
E01000126,E09000003,22.6921902654553,796.753967285156
E01000127,E09000003,22.6679957686109,564.093017578125
E01000128,E09000003,21.7831252327831,684.813331604004
E01000129,E09000003,21.6979163934361,684.813339233398
E01000130,E09000003,22.4163509322144,625.550636291504
E01000131,E09000003,21.6150310270884,695.78791809082
E01000132,E09000003,23.0180405034041,543.241333007813
E01000133,E09000003,23.1457345218373,620.063339233398
E01000134,E09000003,22.4192959323641,685.910781860352
E01000135,E09000003,18.9136229607916,593.724365234375
E01000136,E09000003,16.939076217393,617.868423461914
E01000137,E09000003,18.5859344279818,734.198883056641
E01000138,E09000003,20.5928490063404,573.970153808594
E01000139,E09000003,18.6478214382908,614.576049804688
E01000140,E09000003,17.1222691236466,749.56330871582
E01000141,E09000003,20.2867011154782,948.203094482422
E01000142,E09000003,20.8005050068881,1042.58438873291
E01000143,E09000003,19.2656138689016,590.431991577148
E01000144,E09000003,19.6459306562552,666.156555175781
E01000145,E09000003,20.425811042444,487.271018981934
E01000146,E09000003,18.7090591507539,816.508193969727
E01000147,E09000003,22.3294487918814,597.016738891602
E01000148,E09000003,21.7823035371088,795.656524658203
E01000150,E09000003,23.483602200672,816.508201599121
E01000151,E09000003,24.0931928285357,677.131126403809
E01000152,E09000003,23.7922161256118,618.965881347656
E01000153,E09000003,23.8622579752261,680.423484802246
E01000154,E09000003,23.9815566255752,549.82608795166
E01000155,E09000003,22.7348555974164,874.673431396484
E01000156,E09000003,16.5171102561932,824.190399169922
E01000157,E09000003,17.5099567509172,756.148056030273
E01000158,E09000003,21.4852126528082,618.965888977051
E01000159,E09000003,21.6966353695078,707.859931945801
E01000160,E09000003,20.9119278948675,1012.95305633545
E01000161,E09000003,20.4611829189315,779.19465637207
E01000162,E09000003,20.5171377603741,605.796409606934
E01000163,E09000003,18.8774306252285,832.97004699707
E01000164,E09000003,17.9067438908556,711.152313232422
E01000165,E09000003,19.6003816671463,775.902282714844
E01000166,E09000003,16.9303399156524,711.152290344238
E01000167,E09000003,18.5656129134498,572.872680664063
E01000168,E09000003,17.2456770889353,632.135375976563
E01000169,E09000003,18.0393881534293,735.296371459961
E01000170,E09000003,18.6038561480292,719.93196105957
E01000171,E09000003,17.7973482515961,939.423416137695
E01000172,E09000003,17.2549502117582,660.669250488281
E01000173,E09000003,18.2181354848422,677.131118774414
E01000174,E09000003,19.2703395161026,840.652252197266
E01000175,E09000003,19.9694334492636,678.228569030762
E01000176,E09000003,18.4139686030068,766.025169372559
E01000177,E09000003,17.3335654928126,757.245483398438
E01000178,E09000003,16.9685321862491,762.732788085938
E01000179,E09000003,18.1753735314857,837.359893798828
E01000180,E09000003,16.5393031124326,756.148048400879
E01000181,E09000003,16.5554408906949,734.198883056641
E01000182,E09000003,15.9731097984036,818.703094482422
E01000183,E09000003,17.3455992266224,640.915046691895
E01000184,E09000003,19.3277931903721,552.020988464355
E01000185,E09000003,17.7611548443306,665.059097290039
E01000186,E09000003,21.427584965039,549.826095581055
E01000187,E09000003,21.653271498206,650.792152404785
E01000188,E09000003,22.3558529908068,566.287933349609
E01000189,E09000003,20.8788465626267,780.292129516602
E01000190,E09000003,21.4636997887961,599.211669921875
E01000191,E09000003,21.3119623491931,581.652359008789
E01000192,E09000003,21.8639236245507,749.563301086426
E01000193,E09000003,22.3718856727526,651.889617919922
E01000194,E09000003,21.7383118928661,669.448944091797
E01000195,E09000003,22.1188808050007,764.927696228027
E01000196,E09000003,20.7179689656349,983.321685791016
E01000197,E09000003,19.9810888766752,775.902297973633
E01000198,E09000003,22.9452403514838,751.758224487305
E01000199,E09000003,22.9109539625206,736.393814086914
E01000200,E09000003,21.4766744993196,947.105606079102
E01000201,E09000003,20.9375626237106,567.385391235352
E01000202,E09000003,20.6696914611758,711.152297973633
E01000203,E09000003,19.9027245638378,672.741279602051
E01000204,E09000003,22.8748620243578,753.953155517578
E01000205,E09000003,17.5318254135478,679.326049804688
E01000206,E09000003,16.0378599575245,564.093032836914
E01000207,E09000003,16.8030423269808,667.254013061523
E01000208,E09000003,15.4086266768582,679.326034545898
E01000209,E09000003,18.7064254390571,819.800582885742
E01000210,E09000003,16.8524835171167,658.47435760498
E01000211,E09000003,18.9866202732279,944.910690307617
E01000212,E09000003,19.3635353476181,580.554885864258
E01000213,E09000003,16.9049034532227,510.31763458252
E01000214,E09000003,17.829595227991,786.876846313477
E01000215,E09000003,22.1593531914959,746.270919799805
E01000216,E09000003,20.4364766260403,750.660766601563
E01000217,E09000003,19.7808062536155,571.77522277832
E01000218,E09000003,21.3691277396076,628.843017578125
E01000219,E09000003,21.5996729593241,637.622665405273
E01000220,E09000003,21.2460879353661,650.792144775391
E01000221,E09000003,23.318845541895,532.26676940918
E01000222,E09000003,21.6990516847355,555.313369750977
E01000223,E09000003,22.6180753817681,524.584571838379
E01000224,E09000003,21.9436452024442,575.067596435547
E01000225,E09000003,20.227485527964,580.554885864258
E01000226,E09000003,21.9580157253883,691.398086547852
E01000227,E09000003,20.7280757340337,661.766723632813
E01000228,E09000003,20.710674295475,521.292198181152
E01000229,E09000003,21.1409834191264,658.474349975586
E01000230,E09000003,21.1936154026973,713.347213745117
E01000231,E09000003,18.342354655364,717.73705291748
E01000232,E09000003,19.4600564208087,774.804817199707
E01000233,E09000003,20.5442366463806,696.885368347168
E01000234,E09000003,20.5718461756506,713.347213745117
E01000235,E09000003,23.0509277718487,638.720108032227
E01000236,E09000003,23.1145844121063,739.686187744141
E01000237,E09000003,23.5834861797123,812.118385314941
E01000238,E09000003,22.998959206821,674.936210632324
E01000239,E09000003,25.4049831164257,962.470001220703
E01000240,E09000003,24.954260938136,638.720123291016
E01000241,E09000003,25.5094969602395,763.830261230469
E01000242,E09000003,24.2815575529327,655.181983947754
E01000243,E09000003,24.4346524612473,868.088684082031
E01000244,E09000003,25.2186595548861,638.720108032227
E01000245,E09000003,23.7666339346778,890.037826538086
E01000246,E09000003,14.0772017177378,717.737014770508
E01000247,E09000003,15.1881099963793,818.703109741211
E01000248,E09000003,8.76519519290733,730.906532287598
E01000249,E09000003,9.20318198430983,627.745552062988
E01000250,E09000003,11.0111952387493,1074.41064453125
E01000251,E09000003,15.6165681297146,1039.29200744629
E01000252,E09000003,14.9269055620936,826.385314941406
E01000253,E09000003,9.77450586848771,655.181983947754
E01000254,E09000003,10.4374756644329,682.618423461914
E01000255,E09000003,24.1019547877024,578.359954833984
E01000256,E09000003,23.329939223578,719.93196105957
E01000257,E09000003,24.96634007721,794.559066772461
E01000258,E09000003,21.2143970961794,763.83024597168
E01000259,E09000003,25.3651226703526,1075.50811004639
E01000260,E09000003,24.2221941878137,835.164978027344
E01000261,E09000003,21.4683437046754,708.957366943359
E01000262,E09000003,25.5153059396319,825.287864685059
E01000263,E09000003,20.398376800627,547.63117980957
E01000264,E09000003,19.7028066909277,695.787895202637
E01000265,E09000003,22.191984522821,868.088706970215
E01000266,E09000003,22.3801366915058,560.800659179688
E01000267,E09000003,17.8532619678274,622.258255004883
E01000268,E09000003,15.9385908651221,817.605682373047
E01000269,E09000003,15.7899808608709,587.139633178711
E01000270,E09000003,16.9492172509345,687.008247375488
E01000271,E09000003,17.4199307801521,638.720108032227
E01000272,E09000003,19.7420517065662,513.609992980957
E01000273,E09000003,20.3884109566653,711.152305603027
E01000274,E09000003,21.8060232540242,767.122619628906
E01000275,E09000003,22.0381677461274,706.762481689453
E01000276,E09000003,23.4029248604151,555.313377380371
E01000277,E09000003,23.7124069489201,852.724273681641
E01000278,E09000003,23.5992370012532,546.53369140625
E01000279,E09000003,18.4694929330027,562.995574951172
E01000280,E09000003,20.0519723758522,545.436264038086
E01000281,E09000003,21.7820419728437,526.779472351074
E01000282,E09000003,20.1351488913503,701.275192260742
E01000283,E09000003,20.7333956665702,526.779479980469
E01000284,E09000003,22.0234102323565,856.016632080078
E01000285,E09000003,9.64140979148181,669.448913574219
E01000286,E09000003,8.52577984461413,717.737045288086
E01000287,E09000003,9.24747590769551,682.618431091309
E01000288,E09000003,14.8976055095115,623.35572052002
E01000289,E09000003,13.8305386787827,692.49552154541
E01000290,E09000003,11.9690206846042,739.686180114746
E01000291,E09000003,11.6052823082704,660.66926574707
E01000292,E09000003,10.5178855197728,690.300628662109
E01000293,E09000003,12.2197973441167,704.567581176758
E01000294,E09000003,8.83153267000837,737.491271972656
E01000295,E09000003,20.401122736422,752.855667114258
E01000296,E09000003,21.8690867558543,805.533630371094
E01000297,E09000003,19.1669318190677,607.991333007813
E01000298,E09000003,20.6041195201039,804.436141967773
E01000299,E09000003,23.4921354992305,858.211563110352
E01000300,E09000003,23.1417242311744,732.003982543945
E01000301,E09000003,22.5393937517606,579.457443237305
E01000302,E09000003,21.9509162754914,921.864097595215
E01000303,E09000003,23.1641478272058,592.626907348633
E01000304,E09000003,23.1910303810213,681.520950317383
E01000305,E09000003,22.7080379622589,699.080276489258
E01000306,E09000003,22.4826876537942,612.381149291992
E01000307,E09000003,23.7243019803528,581.652359008789
E01000308,E09000003,23.8822870046912,734.19889831543
E01000309,E09000003,24.1564300355879,679.326049804688
E01000310,E09000003,23.3901998254892,769.317535400391
E01000311,E09000003,23.7910427870576,515.804908752441
E01000312,E09000003,22.1723104133283,779.19465637207
E01000313,E09000003,23.1789283708311,737.491287231445
E01000314,E09000003,23.4677053854833,722.126861572266
E01000315,E09000003,21.9374594747802,673.838760375977
E01000316,E09000003,20.8992564072909,959.177642822266
E01000317,E09000003,21.557001302726,721.029418945313
E01000318,E09000003,21.8770333071746,669.448921203613
E01000319,E09000003,20.0718906638278,580.554885864258
E01000320,E09000003,22.9360193944776,689.203155517578
E01000321,E09000003,22.9186283844476,768.220092773438
E01000322,E09000003,22.7857491023309,849.431915283203
E01000323,E09000003,22.6583466697146,949.300521850586
E01000324,E09000003,21.5751754905688,718.834503173828
E01000325,E09000004,20.526363931883,621.466278076172
E01000326,E09000004,20.3221323342309,579.893051147461
E01000327,E09000004,20.8630129177243,643.851837158203
E01000328,E09000004,19.5309568710137,635.324005126953
E01000329,E09000004,18.335222594281,551.111602783203
E01000330,E09000004,19.5371116180807,822.93643951416
E01000331,E09000004,18.0327389211849,657.709602355957
E01000332,E09000004,22.6606054006229,651.313690185547
E01000333,E09000004,21.8848171873777,845.32202911377
E01000334,E09000004,21.3222655715884,682.227142333984
E01000335,E09000004,21.3756580917483,680.095138549805
E01000336,E09000004,22.1092681869092,845.322036743164
E01000337,E09000004,22.1326997083686,706.74462890625
E01000338,E09000004,22.358066830473,738.724044799805
E01000339,E09000004,18.79390344746,641.719902038574
E01000340,E09000004,17.5536189512992,659.841537475586
E01000341,E09000004,18.6495086065378,650.24772644043
E01000342,E09000004,18.6842854113016,686.491027832031
E01000343,E09000004,19.030817512515,586.288940429688
E01000344,E09000004,18.2135613013671,688.623001098633
E01000345,E09000004,19.057351323683,519.132202148438
E01000346,E09000004,19.174559994962,666.237419128418
E01000347,E09000004,19.0334462253639,658.775573730469
E01000348,E09000004,18.8683944069152,557.507484436035
E01000349,E09000004,17.8604616407719,692.886932373047
E01000350,E09000004,19.7437813711828,555.375511169434
E01000351,E09000004,19.2267044910147,656.643600463867
E01000352,E09000004,18.6607397581856,720.602401733398
E01000353,E09000004,21.5773409352477,705.678680419922
E01000354,E09000004,21.0967415518164,664.105484008789
E01000355,E09000004,21.7447963946295,653.445655822754
E01000356,E09000004,20.4585510798471,669.435348510742
E01000357,E09000004,19.6396517387046,520.198173522949
E01000358,E09000004,20.9742940138348,702.480735778809
E01000359,E09000004,20.1865977170563,520.198181152344
E01000360,E09000004,18.9939276297817,705.678672790527
E01000361,E09000004,18.8600829015301,641.719879150391
E01000362,E09000004,17.8618206902303,667.30339050293
E01000363,E09000004,17.7658398233297,602.278633117676
E01000364,E09000004,17.6715671465317,693.952911376953
